GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
"Halifax, Regional municipality (RGM)",9455.0,20565.0,9750.0,4485.0,760.0,2385.0,2255.0,62.0,155.0,2190.0,2386.25,9246.25,16765.0,1860.0,775.0,1705.0
"Halton Hills, Town (T)",405.0,1090.0,720.0,650.0,200.0,185.0,620.0,0.0,14.0,395.0,110.0,663.75,3505.0,200.0,290.0,195.0
Hamilton,19720.0,33510.0,15550.0,14960.0,1715.0,3800.0,14605.0,29.0,172.0,7775.0,2431.25,7910.0,47635.0,9675.0,4265.0,8900.0
"Hamilton, City (C)",15490.0,28415.0,10945.0,11730.0,1160.0,2365.0,11145.0,29.0,150.0,5825.0,2103.75,6152.5,34790.0,8445.0,3270.0,7365.0
"Hampstead, Ville (V)",95.0,235.0,280.0,200.0,20.0,45.0,170.0,0.0,0.0,25.0,0.0,5.0,75.0,80.0,35.0,165.0
"Hampton, Parish (P)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,48.75,30.0,0.0,0.0,0.0
"Hampton, Town (TV)",0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.5,10.0,0.0,0.0,0.0
"Hanwell, Rural community (RCR)",0.0,55.0,30.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,5.0,75.0,30.0,10.0,0.0,0.0
"Harrison Hot Springs, Village (VL)",0.0,10.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,42.5,36.25,40.0,10.0,0.0,0.0
"Harvey, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hatley, Canton (municipalité de) (CT)",0.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,18.75,58.75,0.0,10.0,0.0,0.0
Hawkesbury,70.0,165.0,45.0,30.0,0.0,0.0,40.0,0.0,3.0,0.0,155.0,228.75,170.0,0.0,20.0,0.0
"Hawkesbury, Town (T)",70.0,165.0,15.0,30.0,0.0,0.0,30.0,0.0,3.0,0.0,138.75,198.75,170.0,0.0,20.0,0.0
"Headingley, Rural municipality (RM)",0.0,25.0,35.0,60.0,15.0,0.0,0.0,0.0,4.0,0.0,32.5,140.0,65.0,0.0,0.0,0.0
"Hiawatha First Nation, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,50.0,10.0,0.0,0.0,0.0
High River,110.0,225.0,15.0,1485.0,15.0,25.0,280.0,0.0,4.0,65.0,61.25,282.5,165.0,95.0,0.0,0.0
"High River, Town (T)",110.0,225.0,15.0,1485.0,15.0,25.0,280.0,0.0,4.0,65.0,61.25,282.5,165.0,95.0,0.0,0.0
"Highlands, District municipality (DM)",0.0,25.0,40.0,10.0,10.0,35.0,10.0,0.0,0.0,0.0,20.0,52.5,15.0,10.0,10.0,0.0
"Hillsborough, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0
"Hillsborough, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0
"Holyrood, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,32.5,0.0,0.0,0.0,0.0
"Homalco 9, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,15.0,0.0,0.0,0.0,0.0
"Hopewell, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0
"Hudson, Ville (V)",30.0,55.0,50.0,35.0,10.0,0.0,10.0,0.0,0.0,20.0,0.0,53.75,10.0,10.0,0.0,20.0
"Hughes Brook, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0
"Humber Arm South, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.25,142.5,0.0,0.0,0.0,0.0
"Hunter River, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Ibex Valley, Hamlet (HAM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,73.75,0.0,0.0,0.0,0.0
"Indian Brook 14, Indian reserve (IRI)",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.25,115.0,0.0,0.0,0.0,0.0
Ingersoll,25.0,230.0,15.0,30.0,25.0,20.0,65.0,0.0,0.0,40.0,65.0,251.25,215.0,20.0,20.0,45.0
"Ingersoll, Town (T)",25.0,230.0,15.0,30.0,25.0,20.0,65.0,0.0,0.0,40.0,65.0,251.25,215.0,20.0,20.0,45.0
"Innisfil, Town (T)",200.0,1440.0,450.0,305.0,45.0,165.0,1115.0,0.0,6.0,200.0,153.75,620.0,1205.0,350.0,435.0,410.0
"Irishtown-Summerside, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,97.5,0.0,0.0,0.0,0.0
"Irricana, Town (T)",0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,46.25,0.0,0.0,0.0,0.0
"Janvier 194, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0
"Jarvis Bay, Summer village (SV)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Johnstons River, Fire district (FD)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joliette,440.0,955.0,85.0,60.0,0.0,0.0,470.0,0.0,0.0,55.0,446.25,553.75,15.0,140.0,10.0,10.0
"Joliette, Ville (V)",275.0,640.0,45.0,40.0,0.0,0.0,355.0,0.0,0.0,25.0,241.25,200.0,10.0,50.0,10.0,0.0
"Juan de Fuca (Part 1), Regional district electoral area (RDA)",0.0,0.0,55.0,20.0,15.0,0.0,15.0,0.0,0.0,10.0,16.25,193.75,30.0,30.0,0.0,0.0
Kamloops,175.0,1035.0,1400.0,1150.0,955.0,295.0,500.0,38.0,160.0,270.0,2095.0,4191.25,4425.0,325.0,125.0,145.0
"Kamloops 1, Indian reserve (IRI)",0.0,15.0,35.0,0.0,15.0,0.0,10.0,0.0,5.0,15.0,246.25,268.75,120.0,0.0,0.0,0.0
"Kamloops, City (CY)",175.0,985.0,1295.0,1100.0,875.0,250.0,490.0,34.0,135.0,260.0,1553.75,3472.5,4260.0,310.0,110.0,145.0
"Katzie 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.5,47.5,0.0,0.0,0.0,0.0
Kawartha Lakes,30.0,605.0,390.0,215.0,20.0,130.0,190.0,8.0,6.0,120.0,403.75,1298.75,675.0,105.0,125.0,25.0
"Kawartha Lakes, City (CY)",30.0,605.0,390.0,215.0,20.0,130.0,190.0,8.0,6.0,120.0,403.75,1298.75,675.0,105.0,125.0,25.0
Kelowna,670.0,2395.0,3340.0,2985.0,1645.0,885.0,1790.0,33.0,137.0,790.0,1800.0,5060.0,7425.0,1215.0,460.0,825.0
"Kelowna, City (CY)",615.0,1885.0,2645.0,2410.0,1230.0,775.0,1315.0,19.0,67.0,665.0,987.5,3075.0,6300.0,965.0,335.0,670.0
Kenora,0.0,60.0,45.0,90.0,15.0,0.0,20.0,0.0,41.0,30.0,772.5,992.5,175.0,25.0,0.0,0.0
"Kenora, City (CY)",0.0,60.0,45.0,90.0,15.0,0.0,20.0,0.0,41.0,30.0,772.5,992.5,175.0,25.0,0.0,0.0
"Kent, District municipality (DM)",0.0,30.0,20.0,40.0,0.0,35.0,50.0,0.0,0.0,0.0,37.5,146.25,80.0,140.0,10.0,20.0
Kentville,100.0,595.0,115.0,360.0,25.0,0.0,60.0,6.0,16.0,45.0,177.5,638.75,270.0,35.0,0.0,0.0
"Kentville, Town (T)",50.0,175.0,55.0,65.0,0.0,0.0,30.0,0.0,0.0,0.0,56.25,142.5,150.0,35.0,0.0,0.0
"King, Township (TP)",185.0,545.0,1040.0,215.0,35.0,85.0,280.0,0.0,0.0,170.0,23.75,108.75,1590.0,150.0,145.0,575.0
"Kings, Subd. B, Subdivision of county municipality (SC)",0.0,295.0,15.0,90.0,0.0,0.0,0.0,4.0,9.0,20.0,70.0,312.5,70.0,0.0,0.0,0.0
"Kings, Subd. C, Subdivision of county municipality (SC)",45.0,125.0,35.0,210.0,25.0,0.0,20.0,0.0,8.0,25.0,55.0,181.25,50.0,0.0,0.0,0.0
"Kingsclear 6, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.5,25.0,0.0,0.0,0.0,0.0
"Kingsclear, Parish (P)",0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,42.5,0.0,0.0,0.0,0.0
Kingston,1615.0,2825.0,3275.0,1135.0,290.0,600.0,1360.0,19.0,76.0,675.0,1171.25,3887.5,4725.0,845.0,300.0,750.0
"Kingston, City (CY)",1565.0,2600.0,3155.0,1050.0,270.0,565.0,1270.0,14.0,56.0,615.0,928.75,2961.25,4430.0,810.0,260.0,735.0
"Kingston, Parish (P)",0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,40.0,0.0,0.0,0.0,0.0
"Kingston, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
"Kingsville, Town (T)",155.0,200.0,60.0,95.0,30.0,10.0,285.0,0.0,6.0,35.0,56.25,310.0,130.0,90.0,0.0,0.0
"Kirkland, Ville (V)",900.0,555.0,2405.0,140.0,45.0,125.0,240.0,0.0,0.0,135.0,10.0,95.0,965.0,80.0,80.0,420.0
Kitchener - Cambridge - Waterloo,10960.0,26550.0,17180.0,5980.0,1230.0,3155.0,12775.0,37.0,110.0,5060.0,1248.75,5757.5,55305.0,10520.0,4055.0,6040.0
"Kitchener, City (CY)",6105.0,17510.0,4660.0,2820.0,465.0,1110.0,7795.0,14.0,53.0,2665.0,636.25,2702.5,25170.0,6635.0,2255.0,3290.0
"Kitimat-Stikine C (Part 1), Regional district electoral area (RDA)",0.0,0.0,0.0,15.0,0.0,0.0,20.0,0.0,4.0,0.0,118.75,148.75,0.0,0.0,0.0,0.0
"Kitimat-Stikine E, Regional district electoral area (RDA)",0.0,0.0,0.0,35.0,25.0,20.0,10.0,0.0,0.0,0.0,255.0,311.25,25.0,0.0,0.0,0.0
"Kitselas 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,17.5,0.0,0.0,0.0,0.0
"Kitsumkaylum 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,20.0,0.0,0.0,0.0,0.0
"Kootenay Boundary A, Regional district electoral area (RDA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,61.25,0.0,0.0,0.0,0.0
"Kowtain 17, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.5,0.0,0.0,0.0,0.0
"Kulspai 6, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,5.0,0.0,0.0,0.0,0.0
"Kwawkwawapilt 6, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,5.0,0.0,0.0,0.0,0.0
"L'Ancienne-Lorette, Ville (V)",170.0,255.0,90.0,0.0,0.0,0.0,200.0,0.0,0.0,10.0,62.5,147.5,25.0,40.0,0.0,0.0
"L'Ange-Gardien, Municipalité (MÉ)",0.0,22.5,7.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0,65.0,100.625,7.5,0.0,0.0,0.0
"L'Assomption, Ville (V)",260.0,1280.0,25.0,0.0,0.0,0.0,290.0,0.0,0.0,25.0,137.5,291.25,10.0,50.0,0.0,0.0
"L'Avenir, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
"L'Épiphanie, Ville (V)",65.0,155.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,35.0,101.25,123.75,0.0,0.0,0.0,0.0
"L'Île-Cadieux, Ville (V)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L'Île-Perrot, Ville (V)",110.0,660.0,160.0,205.0,30.0,0.0,280.0,0.0,0.0,70.0,55.0,176.25,170.0,50.0,15.0,70.0
"La Prairie, Ville (V)",515.0,535.0,1540.0,145.0,10.0,85.0,595.0,6.0,0.0,195.0,93.75,238.75,295.0,230.0,10.0,455.0
"La Pêche, Municipalité (MÉ)",0.0,45.0,40.0,0.0,35.0,0.0,45.0,0.0,0.0,15.0,203.75,296.25,25.0,0.0,0.0,0.0
"LaSalle, Town (T)",1630.0,460.0,940.0,330.0,25.0,130.0,180.0,0.0,0.0,205.0,37.5,448.75,1785.0,210.0,60.0,150.0
"Lac Simon, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.5,17.5,0.0,0.0,0.0,0.0
"Lac-Beauport, Municipalité (MÉ)",10.0,55.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,90.0,0.0,40.0,0.0,0.0
"Lac-Delage, Ville (V)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
"Lac-Saint-Joseph, Ville (V)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachute,0.0,85.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,111.25,257.5,25.0,0.0,10.0,0.0
"Lachute, Ville (V)",0.0,85.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,111.25,257.5,25.0,0.0,10.0,0.0
Lacombe,20.0,250.0,35.0,625.0,35.0,0.0,95.0,0.0,4.0,20.0,100.0,403.75,200.0,40.0,55.0,30.0
"Lacombe, City (CY)",20.0,250.0,35.0,625.0,35.0,0.0,95.0,0.0,4.0,20.0,100.0,403.75,200.0,40.0,55.0,30.0
Ladysmith,0.0,65.0,145.0,65.0,70.0,35.0,35.0,0.0,15.0,45.0,806.25,372.5,75.0,55.0,30.0,0.0
"Ladysmith, Town (T)",0.0,55.0,105.0,50.0,40.0,35.0,25.0,0.0,11.0,40.0,90.0,248.75,60.0,55.0,20.0,0.0
"Laird, Township (TP)",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,45.0,0.0,0.0,0.0,0.0
"Lajord No. 128, Rural municipality (RM)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.25,0.0,0.0,0.0,0.0
"Lake Country, District municipality (DM)",25.0,60.0,140.0,90.0,120.0,15.0,100.0,0.0,20.0,15.0,87.5,450.0,315.0,45.0,25.0,40.0
"Lakeshore, Town (T)",575.0,550.0,345.0,155.0,35.0,65.0,250.0,0.0,16.0,195.0,158.75,682.5,1610.0,375.0,60.0,220.0
"Langford, City (CY)",165.0,725.0,1095.0,1405.0,265.0,360.0,640.0,12.0,34.0,290.0,406.25,1043.75,1880.0,530.0,80.0,225.0
"Langham, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.5,75.0,10.0,0.0,0.0,0.0
"Langley 2, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
"Langley, City (CY)",305.0,605.0,585.0,1100.0,165.0,400.0,510.0,12.0,22.0,245.0,167.5,680.0,1960.0,655.0,110.0,280.0
"Langley, District municipality (DM)",645.0,1450.0,7000.0,3045.0,915.0,6415.0,1715.0,32.0,103.0,1400.0,481.25,2178.75,8720.0,2390.0,370.0,795.0
"Lantzville, District municipality (DM)",0.0,30.0,30.0,35.0,0.0,20.0,0.0,0.0,0.0,0.0,53.75,68.75,0.0,45.0,0.0,0.0
"Larouche, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.25,0.0,0.0,0.0,0.0
"Lashburn, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,61.25,0.0,0.0,0.0,0.0
"Laurentian Valley, Township (TP)",0.0,30.0,15.0,70.0,0.0,0.0,30.0,0.0,14.0,0.0,102.5,448.75,30.0,0.0,0.0,0.0
"Laval, Ville (V)",49070.0,38420.0,4515.0,1555.0,185.0,385.0,15020.0,8.0,22.0,3565.0,1197.5,2425.0,12495.0,8225.0,1090.0,5745.0
"Lavaltrie, Ville (V)",40.0,245.0,20.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,137.5,191.25,0.0,40.0,0.0,0.0
"Lax Kw'alaams 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,7.5,0.0,0.0,0.0,0.0
"Leamington, Municipality (MU)",1190.0,800.0,90.0,370.0,25.0,30.0,2095.0,0.0,0.0,185.0,61.25,241.25,195.0,610.0,60.0,40.0
"Leduc County, Municipal district (MD)",0.0,80.0,40.0,60.0,25.0,0.0,85.0,2.0,8.0,20.0,77.5,352.5,390.0,10.0,40.0,0.0
"Leduc, City (CY)",125.0,635.0,185.0,1845.0,35.0,30.0,340.0,11.0,21.0,95.0,428.75,910.0,680.0,220.0,75.0,0.0
"Lefebvre, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Legal, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,32.5,0.0,0.0,0.0,0.0
"Lepreau, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
"Les Coteaux, Municipalité (MÉ)",10.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,42.5,72.5,0.0,40.0,0.0,0.0
"Les Cèdres, Municipalité (MÉ)",55.0,155.0,10.0,35.0,0.0,0.0,120.0,0.0,0.0,35.0,52.5,125.0,70.0,20.0,10.0,20.0
Lethbridge,445.0,3220.0,1515.0,2400.0,1680.0,220.0,2390.0,3.0,59.0,490.0,1920.0,2017.5,3075.0,820.0,235.0,310.0
"Lethbridge County, Municipal district (MD)",0.0,20.0,0.0,40.0,25.0,0.0,140.0,0.0,2.0,0.0,53.75,91.25,40.0,0.0,0.0,0.0
"Lethbridge, City (CY)",435.0,3105.0,1430.0,2320.0,1460.0,175.0,1955.0,3.0,54.0,460.0,1735.0,1637.5,2990.0,785.0,205.0,305.0
"Lincoln, Parish (P)",0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.75,252.5,15.0,0.0,15.0,0.0
"Lincoln, Town (T)",55.0,515.0,165.0,155.0,20.0,45.0,175.0,6.0,6.0,90.0,46.25,262.5,380.0,95.0,80.0,15.0
"Linkletter, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Lions Bay, Village (VL)",0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,60.0
Lloydminster,70.0,410.0,110.0,3225.0,40.0,65.0,145.0,42.0,43.0,65.0,952.5,1440.0,1000.0,150.0,45.0,80.0
"Lloydminster (Part), City (CY)",35.0,200.0,57.5,1610.0,10.0,32.5,65.0,21.0,17.5,32.5,442.5,618.75,502.5,75.0,20.0,40.0
"Lochaber, Canton (municipalité de) (CT)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0
"Lochaber-Partie-Ouest, Canton (municipalité de) (CT)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.75,0.0,0.0,0.0,0.0
"Logan Lake, District municipality (DM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.5,81.25,0.0,0.0,0.0,0.0
"Logy Bay-Middle Cove-Outer Cove, Town (T)",0.0,0.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,57.5,25.0,0.0,0.0,0.0
London,22295.0,18780.0,12435.0,6440.0,795.0,4445.0,13290.0,15.0,113.0,4180.0,2518.75,6535.0,28285.0,6435.0,2300.0,5455.0
"London, City (CY)",21910.0,17450.0,11955.0,5930.0,685.0,4290.0,12575.0,7.0,94.0,4020.0,2091.25,5082.5,27085.0,5955.0,2160.0,5335.0
"Longueuil, Ville (V)",11025.0,24910.0,4300.0,820.0,145.0,425.0,11400.0,12.0,18.0,1430.0,1350.0,2876.25,2605.0,2730.0,605.0,2855.0
"Lorraine, Ville (V)",165.0,270.0,135.0,0.0,0.0,25.0,165.0,0.0,0.0,45.0,17.5,116.25,65.0,65.0,0.0,30.0
"Loyalist, Township (TP)",55.0,165.0,75.0,65.0,10.0,0.0,45.0,0.0,10.0,20.0,143.75,430.0,185.0,15.0,35.0,20.0
"Lumsden Beach, Resort village (RV)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lumsden No. 189, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0
"Lumsden, Town (T)",0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.5,47.5,15.0,0.0,0.0,0.0
"Léry, Ville (V)",15.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,46.25,0.0,0.0,0.0,10.0
"Lévis, Ville (V)",1080.0,2515.0,455.0,90.0,35.0,30.0,875.0,6.0,12.0,95.0,943.75,1497.5,160.0,395.0,80.0,25.0
"Macdonald, Meredith and Aberdeen Additional, Township (TP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,57.5,0.0,0.0,0.0,0.0
"Macdonald, Rural municipality (RM)",0.0,70.0,40.0,145.0,15.0,0.0,45.0,0.0,10.0,85.0,61.25,276.25,235.0,0.0,15.0,0.0
"Macpherson-Grizzly Valley, Unorganized (NO)",0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,0.0,0.0,0.0,0.0
"Magog, Ville (V)",60.0,210.0,65.0,25.0,0.0,0.0,115.0,0.0,8.0,0.0,262.5,361.25,15.0,35.0,10.0,0.0
"Maliotenam, Indian reserve (IRI)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,712.5,53.75,0.0,0.0,0.0,0.0
"Manners Sutton, Parish (P)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,57.5,0.0,0.0,0.0,0.0
"Maple Ridge, City (CY)",445.0,1440.0,3465.0,2965.0,610.0,1150.0,1310.0,12.0,64.0,780.0,463.75,1756.25,4245.0,905.0,295.0,1820.0
"Markham, City (CY)",3225.0,10435.0,161415.0,9270.0,880.0,4360.0,2675.0,4.0,2.0,9430.0,61.25,391.25,59485.0,2490.0,3555.0,9675.0
"Markstay-Warren, Municipality (MU)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,96.25,141.25,10.0,0.0,0.0,0.0
"Marsh Lake, Unorganized (NO)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.5,0.0,0.0,0.0,0.0
"Marshall, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.75,36.25,0.0,0.0,0.0,0.0
"Martensville, City (CY)",0.0,100.0,40.0,200.0,0.0,0.0,65.0,8.0,12.0,35.0,127.5,467.5,100.0,25.0,0.0,0.0
"Mascouche, Ville (V)",755.0,2665.0,100.0,55.0,15.0,0.0,835.0,0.0,0.0,125.0,330.0,595.0,100.0,140.0,35.0,40.0
"Massey Drive, Town (T)",0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,120.0,106.25,0.0,0.0,0.0,0.0
Matane,30.0,105.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,171.25,165.0,10.0,20.0,0.0,0.0
"Matane, Ville (V)",30.0,95.0,0.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,116.25,133.75,10.0,20.0,0.0,0.0
"Matsqui 4, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.5,0.0,0.0,0.0,0.0
"Matsqui Main 2, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,10.0,0.0,0.0,0.0,0.0
"Maugerville, Parish (P)",0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,36.25,0.0,0.0,0.0,0.0
"Mayo, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,8.75,0.0,0.0,0.0,0.0
"McMasterville, Municipalité (MÉ)",0.0,20.0,20.0,0.0,0.0,0.0,35.0,0.0,4.0,0.0,45.0,82.5,0.0,0.0,0.0,0.0
"McMillan Island 6, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
"McNab/Braeside, Township (TP)",10.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,63.75,281.25,0.0,0.0,0.0,0.0
"McTaggart, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meacham, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meadows, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,40.0,0.0,0.0,0.0,0.0
"Meath Park, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,17.5,0.0,0.0,0.0,0.0
Medicine Hat,320.0,1010.0,675.0,1165.0,150.0,100.0,525.0,24.0,30.0,180.0,713.75,1552.5,1315.0,540.0,90.0,20.0
"Medicine Hat, City (CY)",310.0,955.0,635.0,1105.0,125.0,85.0,490.0,24.0,24.0,175.0,623.75,1285.0,1190.0,430.0,65.0,20.0
