GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
"Division No.  6, Subd. E, Subdivision of unorganized (SNO)",0.0,145.0,0.0
Dolbeau-Mistassini,38.0,14515.0,85.0
"Dolbeau-Mistassini, Ville (V)",38.0,12935.0,80.0
"Dollard-Des Ormeaux, Ville (V)",5302.0,27490.0,1055.0
"Dorchester, Parish (P)",0.0,460.0,0.0
"Dorchester, Village (VL)",2.0,405.0,0.0
"Dorval, Ville (V)",1400.0,13470.0,510.0
"Douglas, Parish (P)",64.0,5690.0,0.0
"Douro-Dummer, Township (TP)",121.0,7145.0,0.0
Drummondville,1138.0,93735.0,1130.0
"Drummondville, Ville (V)",1052.0,72025.0,1020.0
"Duck Lake 7, Indian reserve (IRI)",56.0,1630.0,0.0
Duncan,1581.0,40330.0,275.0
"Duncan, City (CY)",134.0,4125.0,10.0
"Dundurn No. 314, Rural municipality (RM)",52.0,1825.0,0.0
"Dundurn, Town (T)",11.0,635.0,0.0
"East Ferris, Municipality (MU)",47.0,4665.0,0.0
"East Gwillimbury, Town (T)",2741.0,23920.0,360.0
"East Hants, Municipal district (MD)",232.0,21990.0,70.0
"East Kootenay C, Regional district electoral area (RDA)",156.0,5850.0,10.0
"East River, Part 1, Fire district (FD)",24.0,2190.0,15.0
"East River, Part 2, Fire district (FD)",9.0,580.0,0.0
"East St. Paul, Rural municipality (RM)",229.0,8835.0,0.0
"Ebenezer, Village (VL)",0.0,215.0,0.0
"Edenwold No. 158, Rural municipality (RM)",53.0,4170.0,0.0
"Edenwold, Village (VL)",0.0,265.0,0.0
Edmonton,109666.0,1008260.0,25580.0
"Edmonton, City (CY)",98028.0,648190.0,23985.0
Edmundston,218.0,19915.0,295.0
"Edmundston, City (C)",185.0,14370.0,295.0
"Elgin, Parish (P)",8.0,1025.0,0.0
"Elizabethtown-Kitley, Township (TP)",147.0,8795.0,10.0
Elliot Lake,301.0,10030.0,15.0
"Elliot Lake, City (CY)",301.0,10030.0,15.0
"Elton, Rural municipality (RM)",12.0,1175.0,0.0
"Esquimalt, District municipality (DM)",751.0,14355.0,285.0
Essa,726.0,20005.0,100.0
"Essa, Township (TP)",726.0,20005.0,100.0
"Essex, Town (T)",472.0,18835.0,25.0
Estevan,448.0,11075.0,130.0
"Estevan No. 5, Rural municipality (RM)",9.0,1240.0,0.0
"Estevan, City (CY)",429.0,9215.0,130.0
"Ferland-et-Boilleau, Municipalité (MÉ)",2.0,595.0,0.0
"Flatrock, Town (T)",2.0,1800.0,0.0
"Fort Erie, Town (T)",1432.0,26940.0,175.0
"Fort Saskatchewan, City (CY)",812.0,23850.0,135.0
